Supplementary Table 7. Genes in DEPICT-defined loci,,,,,,,,,
Locus,Number of genes in locus,Chromosome and position,GWAS P-value,Ensembl gene ID,Gene symbol,Nominal P-value,Gene closest to lead SNP,FDR,
rs12746551;rs1418609;rs141196516,5,chr1:113933371-114430169,1.44E-09,ENSG00000134242,PTPN22,1,FALSE,>0.20,
rs13026611;rs10211291,5,chr2:127941696-128284462,1.05E-08,ENSG00000115718,PROC,1,FALSE,>0.20,
rs62409395,1,chr4:25656923-25680370,3.55E-08,ENSG00000157765,SLC34A2,1,TRUE,>0.20,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000175315,CST6,1,FALSE,>0.20,
rs12518468,1,chr5:7347099-7348090,4.67E-06,ENSG00000250668,-,1,TRUE,>0.20,
rs4788115;rs4788080;rs4788106;rs240708,15,chr16:28477983-29002104,1.23E-28,ENSG00000197272,IL27,1,TRUE,>0.20,
rs2336721;rs6802671;rs77321042,20,chr3:52350335-53226733,1.05E-10,ENSG00000055955,ITIH4,1,FALSE,>0.20,
rs4635518;rs1820986,1,chr2:68023186-68052694,6.39E-07,ENSG00000237013,-,1,TRUE,>0.20,
rs1689510;rs118067691;rs80223410,8,chr12:56390964-56557280,1.35E-38,ENSG00000139531,SUOX,1,FALSE,>0.20,
rs854796;rs113269212,17,chr17:17750139-18639432,4.66E-09,ENSG00000091536,MYO15A,1,FALSE,>0.20,
rs6684085,1,chr1:151336778-151345209,3.30E-06,ENSG00000143416,SELENBP1,1,TRUE,>0.20,
rs145054300;rs77675579,19,chr11:46299212-47357945,7.18E-08,ENSG00000180210,F2,1,FALSE,>0.20,
rs6501424,1,chr17:68164814-68176160,5.98E-06,ENSG00000123700,KCNJ2,1,TRUE,>0.20,
rs9491533;rs941458,3,chr6:126102307-126360937,4.17E-06,ENSG00000111911,HINT3,1,TRUE,>0.20,
rs35550545;rs188415602;rs12718416;rs192569608;rs144581493,33,chr1:149900543-151098018,1.04E-07,ENSG00000118292,C1orf54,1,FALSE,>0.20,
rs1671770;rs1718188;rs10774563;rs113473640,18,chr12:120881764-121623876,9.05E-12,ENSG00000089041,P2RX7,1,FALSE,>0.20,
rs55736314;rs11919835;rs62244881;rs67000219;rs11128212;rs832220,3,chr3:71003844-71633140,4.59E-27,ENSG00000244203,FOXP1-AS1,1,TRUE,>0.20,
rs4378600,3,chr16:84087366-84212364,4.19E-06,ENSG00000154099,DNAAF1,1,FALSE,>0.20,
rs1728118;rs7758747,1,chr6:108025308-108145521,1.32E-08,ENSG00000146285,SCML4,1,TRUE,>0.20,
rs1603835,1,chr3:69219141-69591734,9.07E-07,ENSG00000114541,FRMD4B,1,TRUE,>0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000159761,C16orf86,1,FALSE,>0.20,
rs6672986;rs6425305;rs114720347;rs76160630;rs146693799,16,chr1:173386932-174992561,6.42E-11,ENSG00000117601,SERPINC1,1,TRUE,>0.20,
rs115437600,1,chr1:154377669-154441926,1.31E-06,ENSG00000160712,IL6R,1,TRUE,>0.20,
rs7027548,1,chr9:105757593-105780770,1.94E-06,ENSG00000155833,CYLC2,1,TRUE,>0.20,
rs55881067,1,chr1:21835858-21904905,2.50E-07,ENSG00000162551,ALPL,1,TRUE,>0.20,
rs35751693;rs13034349;rs35836525;rs11692435,9,chr2:97541620-98612388,8.04E-10,ENSG00000144199,FAHD2B,1,FALSE,>0.20,
rs7257285;rs7255223;rs10410583,3,chr19:32836514-32976795,9.92E-12,ENSG00000249530,-,1,FALSE,>0.20,
rs1335482;rs12754946;rs2647504;rs114020893,10,chr1:77747736-78835149,1.01E-11,ENSG00000237413,-,1,TRUE,>0.20,
rs402479,1,chr11:72281704-72284273,1.33E-07,ENSG00000227467,-,1,TRUE,>0.20,
rs13130765;rs2173108,2,chr4:44680444-44728612,1.89E-10,ENSG00000163281,GNPDA2,1,TRUE,>0.20,
rs12912465,1,chr15:77285700-77329673,1.17E-10,ENSG00000140368,PSTPIP1,1,TRUE,>0.20,
rs4102071,2,chr1:182419256-182558391,5.77E-06,ENSG00000121446,RGSL1,1,FALSE,>0.20,
rs11252624;rs12255709,1,chr10:4697619-4704611,1.47E-07,ENSG00000225269,-,1,TRUE,>0.20,
rs7495033,9,chr15:75041184-75249805,5.92E-10,ENSG00000140505,CYP1A2,1,FALSE,>0.20,
rs12028010;rs2364544;rs11209894;rs72665647,5,chr1:41445007-41849262,9.78E-23,ENSG00000171790,SLFNL1,1,FALSE,>0.20,
rs11588857;rs884108,4,chr1:204391756-204654861,4.45E-31,ENSG00000240710,-,1,TRUE,>0.20,
rs1485300;rs13261773;rs76508452;rs1385499,3,chr8:119935796-120257913,1.14E-10,ENSG00000184374,COLEC10,1,TRUE,>0.20,
rs192436652;rs17516383,4,chr19:54926373-54984411,2.06E-12,ENSG00000182909,LENG9,1,FALSE,>0.20,
rs6104345,12,chr20:44179792-44471914,6.61E-07,ENSG00000124116,WFDC3,1,TRUE,>0.20,
rs13214325,2,chr6:20534688-21232635,9.33E-06,ENSG00000233848,-,1,TRUE,>0.20,
rs76246107,9,chr19:49977486-50161905,6.52E-10,ENSG00000126460,PRRG2,1,FALSE,>0.20,
rs13275199;rs73693135,9,chr8:67579831-68658620,6.20E-07,ENSG00000104205,SGK3,1,FALSE,>0.20,
rs6696068,5,chr1:53662101-53793742,9.50E-10,ENSG00000226754,-,1,TRUE,>0.20,
rs1522803,1,chr2:227044760-227050087,3.73E-07,ENSG00000235070,-,1,TRUE,>0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000167261,DPEP2,1,FALSE,>0.20,
rs4873387;rs4873292,5,chr8:48173167-48976511,1.06E-06,ENSG00000221869,CEBPD,1,TRUE,>0.20,
rs9992915,1,chr4:80822303-81046608,5.11E-08,ENSG00000163297,ANTXR2,1,TRUE,>0.20,
rs1196760;rs117789814,6,chr12:105196331-105630016,2.00E-08,ENSG00000136052,SLC41A2,1,TRUE,>0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000103066,PLA2G15,1,FALSE,>0.20,
rs4788115;rs4788080;rs4788106;rs240708,15,chr16:28477983-29002104,1.23E-28,ENSG00000213658,LAT,1,TRUE,>0.20,
rs150430370,2,chr2:160628362-160919121,4.63E-06,ENSG00000054219,LY75,1,FALSE,>0.20,
rs4416502,3,chr4:76932337-77135046,4.38E-06,ENSG00000156219,ART3,1,FALSE,>0.20,
rs801545,1,chr5:134984273-134989624,3.21E-07,ENSG00000251045,-,1,TRUE,>0.20,
rs173003,11,chr19:36139125-36279724,5.50E-09,ENSG00000011590,ZBTB32,1,FALSE,>0.20,
rs2838006;rs9974899;rs66482320;rs2836213;rs73366468;rs228081;rs9982370;rs73222273,12,chr21:38437942-45746674,1.38E-19,ENSG00000183486,MX2,1,FALSE,>0.20,
rs216130,4,chr5:149340300-149492935,4.20E-07,ENSG00000155850,SLC26A2,1,FALSE,>0.20,
rs9926649;rs8061964;rs3785092,17,chr16:66460816-66978999,1.58E-08,ENSG00000172831,CES2,1,FALSE,>0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000226913,BSN-AS2,1,TRUE,>0.20,
rs7313056,5,chr12:109826524-110035067,1.12E-06,ENSG00000174527,MYO1H,1,FALSE,>0.20,
rs9926649;rs8061964;rs3785092,17,chr16:66460816-66978999,1.58E-08,ENSG00000217555,CKLF,1,FALSE,>0.20,
rs113790954,1,chr2:204801471-204826300,2.33E-06,ENSG00000163600,ICOS,1,TRUE,>0.20,
rs76246107,9,chr19:49977486-50161905,6.52E-10,ENSG00000142552,RCN3,1,FALSE,>0.20,
rs34533962;rs1677058;rs13318986;rs9816054;rs111247721;rs75564433,2,chr3:81538850-82512826,1.17E-16,ENSG00000239440,-,1,TRUE,>0.20,
rs214626;rs117868203;rs9696501,5,chr9:135600965-135867083,1.58E-08,ENSG00000165695,AK8,1,TRUE,>0.20,
rs2081652;rs12508886,2,chr4:159690290-159959912,1.09E-16,ENSG00000164123,C4orf45,1,TRUE,>0.20,
rs17732878,6,chr17:7328935-7417933,4.06E-08,ENSG00000181284,TMEM102,1,FALSE,>0.20,
rs12285074,5,chr11:116714118-117103241,5.11E-12,ENSG00000160613,PCSK7,1,FALSE,>0.20,
rs870829,4,chr17:37913968-38083854,2.76E-07,ENSG00000186075,ZPBP2,1,FALSE,>0.20,
rs9640578;rs34905536,2,chr7:76090993-76648340,8.81E-08,ENSG00000243566,UPK3B,1,FALSE,>0.20,
rs9926649;rs8061964;rs3785092,17,chr16:66460816-66978999,1.58E-08,ENSG00000140932,CMTM2,1,FALSE,>0.20,
rs12076635;rs112361411;rs2428954;rs45605334;rs145155829;rs1198982;rs61768375;rs1362153;rs1999595;rs150833155,25,chr1:43629846-44497139,3.33E-34,ENSG00000159214,CCDC24,1,TRUE,>0.20,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000197658,SLC22A24,1,FALSE,>0.20,
rs2910823;rs27220;rs72755130;rs981230;rs79798166;rs4283754;rs13361043;rs4647102;rs10223052;rs77505016;rs79009682;rs6449503;rs79855925;rs9291710;rs112282911;rs293021;rs74913791;rs72757182;rs76981775;rs62370504;rs153384;rs138236239;rs16890369;rs141883478;rs11958102;rs7719721;rs115583034,12,chr5:57878048-61047590,1.84E-39,ENSG00000251575,-,1,FALSE,>0.20,
rs12896865;rs56373504,1,chr14:82071691-82089405,1.43E-06,ENSG00000258977,-,1,TRUE,>0.20,
rs175210,1,chr22:20186252-20192441,2.48E-06,ENSG00000249923,-,1,TRUE,>0.20,
rs11527317;rs11594025,1,chr10:63166401-63213208,8.85E-08,ENSG00000196932,TMEM26,1,TRUE,>0.20,
rs6832765,1,chr4:139936943-139966906,9.38E-07,ENSG00000151014,CCRN4L,1,TRUE,>0.20,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000177096,FAM109B,1,FALSE,>0.20,
rs75408981;rs1975841,4,chr4:119585252-119982402,2.32E-06,ENSG00000245622,-,1,FALSE,>0.20,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000162241,SLC25A45,1,FALSE,>0.20,
rs2024568,3,chr20:44650329-44758502,1.61E-09,ENSG00000101017,CD40,1,FALSE,>0.20,
rs4683201,2,chr3:46205096-46402419,1.28E-06,ENSG00000183625,CCR3,1,FALSE,>0.20,
rs148526428;rs145480052,17,chr12:110288959-111180744,4.87E-07,ENSG00000122986,HVCN1,1,TRUE,>0.20,
rs11732657,1,chr4:172210626-172219418,6.24E-15,ENSG00000248339,-,1,TRUE,>0.20,
rs933738,7,chr12:49760367-50158717,2.08E-09,ENSG00000135436,FAM186B,1,FALSE,>0.20,
rs2570497;rs112611766;rs2582951,1,chr2:105028685-105030466,1.27E-16,ENSG00000225765,-,1,TRUE,>0.20,
rs4788115;rs4788080;rs4788106;rs240708,15,chr16:28477983-29002104,1.23E-28,ENSG00000197165,SULT1A2,1,FALSE,>0.20,
rs16829228,1,chr2:188328957-188430487,7.44E-06,ENSG00000003436,TFPI,1,TRUE,>0.20,
rs35550545;rs188415602;rs12718416;rs192569608;rs144581493,33,chr1:149900543-151098018,1.04E-07,ENSG00000143387,CTSK,1,TRUE,>0.20,
rs3103307;rs11537608;rs62070648,12,chr17:28575223-29708905,2.04E-07,ENSG00000181481,RNF135,1,TRUE,>0.20,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000196600,SLC22A25,1,FALSE,>0.20,
rs72667460;rs55675587;rs17440885;rs149869656;rs12751825;rs6588157,3,chr1:65886248-67213982,2.44E-10,ENSG00000116678,LEPR,1,FALSE,>0.20,
rs2838006;rs9974899;rs66482320;rs2836213;rs73366468;rs228081;rs9982370;rs73222273,12,chr21:38437942-45746674,1.38E-19,ENSG00000183844,FAM3B,1,TRUE,>0.20,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000172543,CTSW,1,FALSE,>0.20,
rs12464368,13,chr2:27505260-27746554,8.64E-07,ENSG00000084734,GCKR,1,FALSE,>0.20,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000173156,RHOD,1,FALSE,>0.20,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000100147,CCDC134,1,FALSE,>0.20,
rs971230,3,chr3:100328433-100712359,9.68E-08,ENSG00000144820,GPR128,1,FALSE,>0.20,
rs13240401;rs11772232;rs10278242;rs73038493;rs6978112;rs76007632;rs147648203;rs62442476;rs148068310;rs76016791,5,chr7:1855383-2393953,2.36E-24,ENSG00000106266,SNX8,1,FALSE,>0.20,
rs1815532;rs8013401;rs12590545;rs61989562,7,chr14:66953072-67878917,8.01E-08,ENSG00000100558,PLEK2,1,FALSE,>0.20,
rs2478208,1,chr13:81193233-81194202,2.89E-13,ENSG00000227862,HNRNPA1P31,1,TRUE,>0.20,
rs4242099,4,chr5:43444354-43707507,3.57E-06,ENSG00000151881,C5orf28,1,TRUE,>0.20,
rs28862724,3,chr7:5470966-5603415,2.90E-06,ENSG00000234708,-,1,FALSE,>0.20,
rs4851759,4,chr2:105880871-106054960,1.65E-12,ENSG00000238273,-,1,FALSE,>0.20,
rs870829,4,chr17:37913968-38083854,2.76E-07,ENSG00000172057,ORMDL3,1,FALSE,>0.20,
rs6861925;rs481998,3,chr5:176307870-176508190,1.76E-10,ENSG00000160883,HK3,1,TRUE,>0.20,
rs28737193;rs8032033,5,chr15:82422571-83474822,1.94E-07,ENSG00000188659,FAM154B,1,FALSE,>0.20,
rs9289300;rs9821664,1,chr3:127041150-127109513,1.00E-17,ENSG00000244215,-,1,TRUE,>0.20,
rs6546856,4,chr2:73612886-73912703,2.52E-07,ENSG00000144035,NAT8,1,TRUE,>0.20,
rs4788115;rs4788080;rs4788106;rs240708,15,chr16:28477983-29002104,1.23E-28,ENSG00000188603,CLN3,1,FALSE,>0.20,
rs4907307,9,chr2:96916312-97370624,2.01E-06,ENSG00000198885,ITPRIPL1,1,FALSE,>0.20,
rs35932033,1,chr8:127337740-127341780,7.69E-07,ENSG00000244791,-,1,TRUE,>0.20,
rs8040116,6,chr15:49280673-50149346,9.45E-06,ENSG00000140285,FGF7,1,TRUE,>0.20,
rs10519924,1,chr15:34635516-34649938,6.57E-06,ENSG00000184507,C15orf55,1,TRUE,>0.20,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000235568,NFAM1,1,FALSE,>0.20,
rs10491478,2,chr5:179289066-179499118,7.69E-07,ENSG00000113269,RNF130,1,FALSE,>0.20,
rs11000785;rs10824045,10,chr10:75432880-75682535,1.32E-07,ENSG00000236370,-,1,FALSE,>0.20,
rs2336721;rs6802671;rs77321042,20,chr3:52350335-53226733,1.05E-10,ENSG00000055957,ITIH1,1,FALSE,>0.20,
rs2998299;rs72694479;rs75562775;rs7146625;rs1779549;rs17120665;rs12586417;rs73314037,1,chr14:85860223-85886418,1.51E-15,ENSG00000259107,-,1,TRUE,>0.20,
rs2406253;rs10241492;rs4134932,17,chr7:99699172-100092422,3.58E-14,ENSG00000085514,PILRA,1,TRUE,>0.20,
rs854796;rs113269212,17,chr17:17750139-18639432,4.66E-09,ENSG00000214860,EVPLL,1,FALSE,>0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000114779,ABHD14B,1,TRUE,>0.20,
rs1485300;rs13261773;rs76508452;rs1385499,3,chr8:119935796-120257913,1.14E-10,ENSG00000164761,TNFRSF11B,1,TRUE,>0.20,
rs7211055;rs12940055;rs72848751,16,chr17:61600695-62050278,5.82E-07,ENSG00000240280,-,1,FALSE,>0.20,
rs10083736;rs2550218,1,chr16:58783542-59142878,7.37E-08,ENSG00000245768,-,1,TRUE,>0.20,
rs150430370,2,chr2:160628362-160919121,4.63E-06,ENSG00000153246,PLA2R1,1,FALSE,>0.20,
rs10271395;rs74679388,4,chr7:115575202-116148595,1.19E-06,ENSG00000237870,-,1,FALSE,>0.20,
rs17882802,5,chr10:101801950-102090243,3.00E-09,ENSG00000120054,CPN1,1,FALSE,>0.20,
rs6534338;rs4295278;rs6836189,4,chr4:123073488-123542224,1.46E-11,ENSG00000138684,IL21,1,TRUE,>0.20,
rs12970624,1,chr18:30517367-31020685,3.17E-06,ENSG00000166960,C18orf34,1,TRUE,>0.20,
rs4013722,3,chr12:7187513-7275097,3.41E-06,ENSG00000205885,-,1,FALSE,>0.20,
rs2039204,8,chr9:130267618-130541020,5.23E-09,ENSG00000160401,C9orf117,1,FALSE,>0.20,
rs62177359;rs13397529;rs6752228;rs10192369;rs75206868,2,chr2:160956177-161350305,6.87E-13,ENSG00000115221,ITGB6,1,TRUE,>0.20,
rs17186106;rs2870281;rs7655515;rs12331072;rs11735195,2,chr4:90800683-92523064,3.95E-09,ENSG00000138722,MMRN1,1,FALSE,>0.20,
rs730384;rs7154563,9,chr14:74872596-75370448,9.38E-13,ENSG00000119608,PROX2,1,FALSE,>0.20,
rs9411302,3,chr9:139933922-139965040,6.93E-06,ENSG00000054179,ENTPD2,1,TRUE,>0.20,
rs11592299;rs3781339;rs12774577;rs10748841;rs76957677;rs2986016;rs1538205;rs146952142;rs138873813;rs3740409,22,chr10:104221149-105615301,8.69E-13,ENSG00000234699,-,1,FALSE,>0.20,
rs3848715,3,chr20:44527399-44600833,1.07E-08,ENSG00000100979,PLTP,1,FALSE,>0.20,
rs9373384;rs9496638;rs72988638,5,chr6:143381633-143832827,1.64E-07,ENSG00000001036,FUCA2,1,FALSE,>0.20,
rs12145291;rs12145747;rs11210228;rs2341264;rs7412683,2,chr1:73240954-73820934,1.70E-20,ENSG00000227016,-,1,FALSE,>0.20,
rs35550545;rs188415602;rs12718416;rs192569608;rs144581493,33,chr1:149900543-151098018,1.04E-07,ENSG00000014914,MTMR11,1,FALSE,>0.20,
rs61748951,28,chr1:155158300-156182587,1.31E-08,ENSG00000185499,MUC1,1,FALSE,>0.20,
rs2312942,1,chr4:16162128-16229033,4.50E-07,ENSG00000169762,TAPT1,1,TRUE,>0.20,
rs10400362,4,chr11:55594695-55945032,8.62E-06,ENSG00000205030,OR5L2,1,FALSE,>0.20,
rs6871635,2,chr5:133842243-133918918,1.16E-09,ENSG00000251169,-,1,TRUE,>0.20,
rs7076810,4,chr10:96442710-96829254,7.56E-08,ENSG00000138115,CYP2C8,1,FALSE,>0.20,
rs12506004,2,chr4:9772777-10118573,1.09E-06,ENSG00000109667,SLC2A9,1,TRUE,>0.20,
rs3751331;rs138569349;rs1148547,20,chr12:57984957-58351052,1.75E-11,ENSG00000111012,CYP27B1,1,FALSE,>0.20,
rs62074390,1,chr17:45400656-45518678,7.25E-06,ENSG00000178852,C17orf57,1,FALSE,>0.20,
rs730384;rs7154563,9,chr14:74872596-75370448,9.38E-13,ENSG00000119681,LTBP2,1,TRUE,>0.20,
rs2047229,1,chr12:56754353-56756607,1.94E-06,ENSG00000175336,APOF,1,TRUE,>0.20,
rs151257075;rs16837272,17,chr1:156182773-156647189,7.96E-06,ENSG00000132677,RHBG,1,FALSE,>0.20,
rs1671770;rs1718188;rs10774563;rs113473640,18,chr12:120881764-121623876,9.05E-12,ENSG00000122971,ACADS,1,FALSE,>0.20,
rs9294770;rs67677171;rs4449610;rs9363731;rs9294754;rs145920670,1,chr6:68936864-69039791,8.74E-09,ENSG00000226497,-,1,TRUE,>0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000041880,PARP3,1,FALSE,>0.20,
rs2424627,1,chr20:24929866-24940564,1.44E-06,ENSG00000077984,CST7,1,TRUE,>0.20,
rs12643771;rs35319653;rs144647688;rs10519504;rs6835277;rs11942001,2,chr4:140586922-141075338,1.32E-17,ENSG00000085871,MGST2,1,TRUE,>0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000102871,TRADD,1,FALSE,>0.20,
rs854796;rs113269212,17,chr17:17750139-18639432,4.66E-09,ENSG00000240984,-,1,FALSE,>0.20,
rs13018640;rs71413877;rs72819118;rs192225848;rs72821189;rs10166286;rs10168615;rs17023131;rs79430745;rs6715321;rs4851263;rs4851338;rs13009915;rs1346620;rs77826402;rs62147651;rs62156361;rs6733011;rs11690621;rs116398129;rs111377325;rs11690494;rs744145,19,chr2:99061317-101034118,1.05E-50,ENSG00000185674,LYG2,1,FALSE,>0.20,
rs73015648,6,chr11:124029128-124253258,2.78E-06,ENSG00000197849,OR8G7P,1,FALSE,>0.20,
rs10783243;rs79359351,8,chr12:48366748-48745197,5.80E-11,ENSG00000257955,-,1,FALSE,>0.20,
rs9866123;rs4858192;rs11710447;rs9754853,1,chr3:20383960-20392420,1.02E-09,ENSG00000231304,-,1,TRUE,>0.20,
rs11000785;rs10824045,10,chr10:75432880-75682535,1.32E-07,ENSG00000166507,NDST2,1,TRUE,>0.20,
rs10400362,4,chr11:55594695-55945032,8.62E-06,ENSG00000174957,OR5J2,1,TRUE,>0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000114735,HEMK1,1,FALSE,>0.20,
rs7248885,3,chr19:19672522-19754455,1.13E-07,ENSG00000064547,LPAR2,1,FALSE,>0.20,
rs6020560;rs4809794,3,chr20:49096304-49308065,3.84E-09,ENSG00000042062,FAM65C,1,FALSE,>0.20,
rs10903358,6,chr10:855484-1178237,1.01E-06,ENSG00000148377,IDI2,1,FALSE,>0.20,
rs2669424,2,chr8:105391652-105479281,9.56E-07,ENSG00000179577,-,1,TRUE,>0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000114738,MAPKAPK3,1,FALSE,>0.20,
rs6927746,1,chr6:147163702-147525750,8.92E-06,ENSG00000233452,-,1,FALSE,>0.20,
rs6573559;rs6573552,11,chr14:64319683-65056098,3.11E-12,ENSG00000258824,-,1,TRUE,>0.20,
rs1335482;rs12754946;rs2647504;rs114020893,10,chr1:77747736-78835149,1.01E-11,ENSG00000137960,GIPC2,1,FALSE,>0.20,
rs7321274;rs716513;rs2048122;rs7336241,1,chr13:68863811-68865412,8.21E-11,ENSG00000234765,ELL2P3,1,TRUE,>0.20,
rs8104608,2,chr19:10332109-10370736,7.41E-06,ENSG00000175898,S1PR2,1,FALSE,>0.20,
rs6104345,12,chr20:44179792-44471914,6.61E-07,ENSG00000180205,WFDC9,1,FALSE,>0.20,
rs6104345,12,chr20:44179792-44471914,6.61E-07,ENSG00000168634,WFDC13,1,FALSE,>0.20,
rs7076810,4,chr10:96442710-96829254,7.56E-08,ENSG00000138109,CYP2C9,1,FALSE,>0.20,
rs7113456;rs11604751,2,chr11:126225535-126873355,1.14E-07,ENSG00000110080,ST3GAL4,1,TRUE,>0.20,
rs7999579,4,chr13:113812968-113977987,6.20E-06,ENSG00000126231,PROZ,1,FALSE,>0.20,
